"","URL_of_Anchor","Request_URL","URL_Length","having_At_Symbol","Prefix_Suffix","having_Sub_Domain","Result"
"198",-1,1,-1,1,-1,0,-1
"200",-1,-1,-1,1,-1,0,-1
"201",0,1,1,1,-1,0,1
"202",0,-1,-1,1,1,0,1
"203",0,1,-1,1,-1,-1,1
"204",0,1,-1,1,-1,0,-1
"205",-1,1,1,1,-1,0,-1
"209",-1,-1,-1,1,-1,-1,-1
"210",0,-1,-1,1,-1,0,1
"211",1,-1,-1,1,-1,0,1
"212",0,-1,-1,1,-1,-1,1
"213",1,-1,-1,1,-1,0,1
"214",1,1,1,1,-1,-1,1
"215",-1,-1,-1,-1,-1,0,-1
"216",1,1,-1,1,-1,1,1
"217",0,-1,-1,1,-1,0,1
"220",0,-1,-1,1,-1,0,-1
"221",0,-1,1,1,-1,1,1
"222",1,1,-1,1,-1,1,1
"224",-1,-1,-1,1,-1,0,-1
"225",0,-1,-1,1,-1,-1,-1
"226",-1,-1,-1,1,-1,-1,-1
"228",0,-1,0,1,-1,1,1
"230",0,1,-1,1,-1,-1,-1
"231",1,0,-1,1,1,1,1
"232",0,1,-1,1,-1,0,1
"235",0,-1,-1,1,-1,-1,1
"237",0,1,-1,1,1,-1,1
"238",0,-1,-1,1,1,1,1
"239",-1,-1,-1,-1,-1,0,-1
"241",-1,-1,0,1,-1,0,-1
"242",0,1,-1,1,-1,1,-1
"243",1,1,-1,1,-1,1,1
"245",0,1,-1,1,-1,0,-1
"246",0,1,1,1,-1,1,-1
"249",0,-1,-1,1,-1,-1,-1
"253",1,-1,-1,1,1,-1,1
"255",0,1,-1,0,-1,1,1
"256",-1,-1,-1,1,-1,0,-1
"258",0,1,-1,1,-1,0,1
"260",0,1,1,1,-1,0,1
"261",1,1,-1,1,-1,1,1
"262",0,-1,-1,1,-1,0,1
"263",0,-1,-1,1,-1,-1,1
"265",1,1,-1,1,1,0,1
"266",0,1,-1,1,-1,-1,-1
"270",-1,1,-1,1,-1,0,-1
"272",1,-1,0,1,-1,0,1
"274",0,1,-1,1,-1,0,1
"275",1,1,-1,0,-1,1,1
"276",0,-1,-1,1,-1,1,1
"279",1,1,-1,1,-1,0,1
"280",0,-1,-1,1,-1,1,1
"281",-1,-1,-1,1,-1,0,-1
"282",0,1,-1,1,-1,1,1
"283",0,-1,1,1,1,1,1
"284",0,-1,-1,1,-1,-1,-1
"286",-1,-1,-1,-1,-1,0,-1
"288",0,0,-1,1,-1,1,1
"290",1,1,-1,-1,-1,-1,1
"291",1,1,1,1,1,0,1
"293",0,-1,-1,1,-1,-1,-1
"294",1,-1,-1,1,1,-1,1
"295",0,1,-1,0,-1,-1,1
"296",0,1,1,1,0,-1,1
"297",-1,-1,-1,1,-1,0,-1
"300",0,1,1,-1,1,-1,1
"301",-1,1,-1,1,-1,0,-1
"302",0,1,-1,1,-1,1,1
"304",0,-1,-1,1,-1,0,1
"305",0,1,1,1,-1,0,1
"307",1,-1,-1,1,-1,-1,1
"308",0,-1,-1,-1,-1,-1,1
"309",0,1,-1,1,-1,-1,1
"310",0,1,-1,1,-1,1,1
"311",-1,1,-1,1,0,0,-1
"313",0,-1,-1,1,-1,-1,1
"314",0,1,1,1,-1,-1,1
"318",0,1,-1,1,1,1,1
"320",0,-1,-1,1,-1,-1,1
"321",1,1,1,1,1,0,1
"323",1,1,-1,1,-1,1,1
"325",1,-1,-1,1,1,-1,1
"327",-1,1,1,1,-1,0,-1
"329",0,1,1,-1,-1,-1,1
"330",0,1,1,1,-1,-1,1
"331",1,-1,-1,1,-1,0,1
"332",1,1,-1,1,1,-1,1
"333",0,1,-1,-1,-1,1,1
"334",-1,0,1,1,-1,-1,-1
"335",-1,-1,-1,1,-1,1,-1
"336",0,1,-1,1,-1,1,1
"337",-1,-1,-1,1,-1,0,-1
"339",0,1,1,1,-1,1,1
"340",0,1,0,1,-1,-1,1
"341",1,1,-1,1,-1,1,1
"342",0,1,1,1,-1,1,1
"343",1,-1,-1,1,-1,1,1
"344",0,-1,-1,1,-1,0,1
"345",1,1,1,1,-1,-1,1
"346",-1,1,1,1,-1,-1,-1
"347",1,1,-1,1,-1,0,1
"348",0,1,-1,1,1,1,1
"349",0,-1,-1,1,-1,0,1
"350",-1,1,-1,1,-1,0,-1
"351",1,1,-1,1,-1,-1,1
"352",-1,-1,-1,1,-1,0,-1
"354",1,1,-1,1,-1,-1,1
"355",0,1,-1,1,-1,1,-1
"356",0,1,-1,-1,-1,0,1
"358",1,1,-1,1,-1,1,1
"359",0,-1,-1,1,-1,-1,1
"361",-1,-1,-1,1,-1,-1,-1
"362",1,-1,-1,1,-1,-1,1
"363",-1,-1,-1,1,-1,-1,-1
"365",0,1,-1,1,-1,-1,1
"367",0,1,-1,1,-1,1,1
"369",-1,1,-1,1,-1,-1,-1
"370",1,-1,-1,1,1,1,1
"372",-1,-1,-1,-1,0,-1,-1
"377",-1,-1,-1,1,-1,0,-1
"378",0,1,-1,1,1,1,1
"380",1,1,-1,1,-1,0,1
"382",-1,-1,-1,1,-1,-1,-1
"385",1,-1,-1,1,-1,-1,1
"386",-1,1,1,1,-1,0,-1
"387",0,-1,-1,1,-1,0,1
"389",1,-1,-1,1,-1,-1,-1
"390",-1,1,-1,1,-1,0,-1
"391",1,-1,-1,1,-1,1,1
"392",0,1,1,1,-1,0,1
"394",0,1,-1,1,-1,1,1
"398",0,-1,-1,1,-1,0,1
"399",0,1,-1,1,-1,1,1
"400",0,1,-1,1,-1,0,1
"401",0,1,-1,1,-1,-1,-1
"402",1,1,-1,1,0,1,1
"403",1,-1,-1,1,1,-1,1
"405",1,1,-1,1,1,0,1
"406",1,1,-1,1,-1,0,1
"407",0,1,-1,1,-1,-1,1
"408",0,1,-1,1,-1,0,1
"409",0,1,-1,1,-1,1,1
"411",1,1,-1,1,-1,-1,1
"413",0,-1,-1,1,1,-1,1
"414",0,-1,-1,1,-1,0,-1
"415",-1,1,-1,1,-1,-1,-1
"417",0,-1,-1,1,-1,-1,-1
"418",0,-1,-1,1,-1,1,-1
"419",-1,-1,-1,1,-1,0,-1
"420",-1,1,-1,1,-1,-1,-1
"422",0,-1,-1,1,-1,1,1
"423",0,1,-1,1,-1,1,1
"424",0,-1,-1,-1,-1,1,1
"425",0,1,-1,1,-1,-1,-1
"426",-1,1,1,1,-1,-1,-1
"427",0,1,-1,1,-1,0,1
"428",0,-1,-1,1,-1,1,1
"429",0,-1,-1,1,-1,0,1
"430",0,-1,-1,1,-1,1,1
"431",0,1,-1,1,-1,1,1
"432",1,-1,-1,1,-1,0,1
"437",1,1,1,1,1,-1,1
"439",1,1,-1,1,-1,0,1
"442",0,-1,-1,0,-1,0,-1
"443",0,1,-1,1,-1,-1,1
"444",-1,1,-1,1,-1,0,-1
"446",0,-1,-1,1,-1,1,-1
"449",-1,1,1,1,-1,-1,-1
"450",0,-1,-1,1,0,0,1
"457",1,1,-1,1,1,0,1
"458",-1,1,-1,1,-1,-1,-1
"459",-1,1,-1,1,-1,0,-1
"460",-1,1,1,1,-1,0,-1
"461",0,-1,-1,1,-1,-1,-1
"462",1,-1,-1,1,-1,1,1
"463",0,1,1,1,-1,-1,1
"464",1,-1,-1,1,1,-1,1
"465",0,1,-1,1,-1,-1,1
"470",-1,1,1,0,-1,0,-1
"471",0,1,-1,1,-1,-1,-1
"472",0,1,-1,1,-1,1,1
"473",0,1,-1,1,-1,1,1
"474",-1,1,-1,1,-1,-1,-1
"476",-1,1,1,1,-1,-1,-1
"479",0,1,1,1,-1,1,-1
"480",1,1,-1,1,-1,1,1
"481",-1,1,1,1,-1,-1,-1
"482",-1,-1,-1,1,-1,0,-1
"485",-1,1,1,1,-1,0,-1
"487",0,1,-1,1,-1,0,-1
"489",0,1,-1,1,-1,-1,1
"490",1,1,-1,1,1,-1,1
"491",0,1,-1,1,-1,0,1
"492",0,1,1,-1,-1,-1,-1
"493",-1,-1,-1,1,-1,0,-1
"494",0,-1,-1,1,-1,0,1
"495",-1,1,-1,1,-1,0,-1
"496",0,-1,-1,1,-1,0,1
"497",0,-1,-1,1,-1,-1,1
"499",0,-1,-1,1,-1,0,1
"500",1,1,1,1,1,-1,1
"501",1,1,1,1,1,0,1
"502",0,1,-1,1,-1,-1,1
"503",-1,1,-1,1,-1,0,-1
"504",0,1,-1,1,-1,-1,1
"507",1,1,1,1,1,-1,1
"508",0,1,0,-1,-1,-1,1
"509",0,1,-1,1,-1,1,1
"510",1,-1,-1,1,-1,0,1
"511",0,1,1,1,-1,0,1
"512",0,-1,-1,1,-1,-1,-1
"514",-1,1,1,1,-1,0,-1
"516",0,1,-1,1,-1,-1,1
"519",-1,-1,-1,-1,-1,-1,-1
"520",-1,1,1,1,-1,0,-1
"521",0,-1,-1,1,-1,1,1
"523",0,1,-1,1,1,1,1
"524",1,1,-1,1,-1,-1,1
"525",1,1,0,1,-1,-1,1
"526",0,1,-1,1,-1,0,-1
"528",1,1,1,1,1,-1,1
"530",0,1,-1,1,-1,-1,-1
"531",-1,-1,-1,1,-1,0,-1
"532",-1,-1,-1,1,-1,-1,-1
"533",-1,-1,-1,1,-1,-1,-1
"534",0,-1,1,1,-1,0,-1
"535",0,1,-1,1,-1,1,1
"537",0,1,-1,1,-1,1,1
"538",1,1,1,1,1,1,1
"539",-1,1,-1,1,-1,-1,-1
"541",-1,1,-1,1,-1,-1,-1
"543",1,-1,-1,1,-1,0,1
"546",0,1,0,1,-1,0,1
"547",-1,1,-1,1,-1,-1,-1
"548",0,1,1,1,-1,1,1
"551",1,0,-1,1,1,-1,1
"553",1,-1,-1,1,-1,-1,1
"555",-1,-1,1,-1,-1,0,-1
"556",0,-1,-1,1,-1,-1,-1
"557",-1,1,-1,1,-1,0,-1
"558",0,1,-1,1,-1,-1,1
"559",-1,-1,-1,1,-1,0,-1
"560",0,1,1,1,-1,-1,1
"562",0,1,-1,1,-1,1,1
"563",0,1,-1,1,1,-1,1
"564",0,1,-1,1,-1,0,1
"565",0,1,-1,1,-1,1,1
"566",1,1,1,1,-1,-1,1
"568",0,1,-1,1,-1,-1,1
"570",0,1,-1,-1,1,1,1
"571",0,1,1,1,-1,0,1
"572",0,-1,-1,1,-1,-1,-1
"573",0,-1,-1,1,-1,0,-1
"574",1,1,1,1,-1,1,1
"576",0,-1,-1,1,-1,0,-1
"577",-1,1,1,1,-1,-1,-1
"578",0,-1,-1,1,-1,-1,-1
"579",0,1,-1,0,-1,1,1
"580",1,1,0,1,-1,-1,1
"583",0,1,-1,1,-1,1,1
"585",0,1,1,1,-1,-1,1
"587",-1,-1,-1,1,-1,0,-1
"589",0,0,0,1,1,1,1
"593",0,-1,1,-1,-1,1,1
"595",-1,1,1,-1,-1,0,-1
"598",0,1,-1,1,1,1,1
"599",0,1,-1,1,-1,1,1
"601",1,1,1,1,-1,-1,1
"602",0,1,-1,1,-1,-1,1
"604",0,1,-1,1,-1,-1,1
"605",0,1,1,1,-1,-1,1
"606",0,-1,-1,1,-1,1,1
"607",0,1,-1,1,1,1,1
"608",0,1,-1,1,-1,-1,-1
"609",0,1,-1,0,-1,-1,1
"611",0,1,-1,1,-1,1,1
"612",-1,1,-1,1,-1,-1,-1
"613",0,1,-1,1,-1,-1,1
"614",-1,-1,-1,1,-1,-1,-1
"615",0,1,-1,1,-1,-1,1
"616",0,-1,-1,1,-1,-1,-1
"620",1,1,-1,0,1,1,1
"625",-1,1,1,1,-1,-1,-1
"626",0,-1,-1,1,-1,-1,-1
"630",1,1,0,1,-1,1,1
"631",1,1,-1,1,1,0,1
"632",1,1,-1,1,1,0,1
"634",0,-1,-1,1,-1,1,1
"635",-1,-1,-1,1,-1,0,-1
"638",1,-1,-1,1,-1,0,1
"639",-1,-1,1,1,-1,-1,-1
"640",-1,0,-1,0,-1,0,-1
"642",1,-1,0,1,0,0,1
"643",-1,1,-1,1,-1,0,-1
"644",1,1,-1,1,-1,-1,1
"645",0,-1,-1,1,-1,-1,-1
"646",-1,-1,1,1,-1,-1,-1
"647",0,-1,-1,1,-1,1,1
"648",-1,1,-1,1,-1,0,-1
"649",1,1,-1,1,-1,1,1
"650",0,-1,-1,1,-1,0,-1
"651",-1,1,1,1,-1,0,-1
"652",-1,1,1,1,-1,0,-1
"655",0,-1,-1,1,-1,1,1
"656",0,-1,-1,1,-1,-1,-1
"657",0,1,1,1,-1,0,1
"658",-1,-1,-1,1,-1,-1,-1
"659",0,1,-1,1,-1,-1,-1
"661",-1,-1,1,1,-1,0,-1
"662",-1,1,-1,1,-1,0,-1
"663",1,-1,-1,1,1,1,1
"665",0,-1,-1,1,-1,-1,1
"666",0,-1,-1,1,-1,1,1
"667",0,0,-1,1,-1,-1,1
"668",-1,-1,-1,1,-1,-1,-1
"670",0,1,1,1,-1,-1,1
"673",0,1,-1,1,-1,-1,-1
"674",0,1,-1,1,1,0,1
"675",1,1,-1,1,1,-1,1
"676",-1,-1,-1,1,-1,0,-1
"677",-1,1,-1,1,-1,-1,-1
"678",0,1,-1,1,-1,1,1
"680",1,1,1,1,-1,1,1
"683",-1,-1,-1,1,-1,0,-1
"684",0,-1,-1,1,-1,1,1
"686",0,1,-1,1,-1,-1,1
"689",-1,-1,-1,1,-1,0,-1
"691",0,1,-1,1,-1,-1,-1
"692",0,1,-1,1,-1,-1,1
"693",0,-1,-1,1,-1,-1,-1
"695",-1,-1,-1,1,-1,-1,-1
"696",-1,-1,0,1,0,-1,-1
"697",1,1,-1,-1,1,-1,1
"699",0,1,-1,1,-1,1,-1
"700",-1,-1,-1,1,-1,0,-1
"701",1,1,-1,1,-1,1,1
"702",1,1,1,1,1,0,1
"703",-1,1,-1,1,-1,0,-1
"706",0,1,-1,1,-1,1,1
"708",-1,1,0,1,-1,-1,-1
"709",0,1,-1,1,-1,0,1
"710",-1,1,-1,1,-1,-1,-1
"711",-1,-1,-1,1,-1,1,-1
"712",0,-1,1,1,-1,0,1
"713",0,-1,-1,1,-1,1,1
"714",-1,-1,-1,1,-1,1,-1
"716",0,-1,-1,1,-1,-1,-1
"719",-1,-1,-1,1,-1,-1,-1
"722",0,-1,-1,1,-1,1,1
"726",-1,-1,-1,1,-1,0,-1
"727",0,1,-1,1,-1,1,1
"728",-1,1,-1,1,0,-1,-1
"730",0,-1,-1,1,-1,1,1
"733",0,1,-1,1,-1,-1,1
"734",0,1,1,1,-1,-1,-1
"735",-1,-1,-1,1,-1,0,-1
"736",0,1,-1,1,-1,1,1
"737",0,1,-1,1,-1,-1,1
"738",0,1,-1,1,-1,-1,-1
"739",1,1,1,1,-1,0,1
"741",0,1,-1,1,-1,-1,-1
"743",-1,1,-1,1,-1,-1,1
"744",0,-1,-1,1,-1,1,-1
"745",0,-1,-1,1,-1,1,1
"746",0,1,-1,1,-1,1,-1
"747",-1,-1,-1,1,-1,0,-1
"748",0,1,-1,1,-1,-1,1
"750",1,1,-1,1,-1,1,1
"751",0,-1,-1,1,-1,-1,-1
"752",0,1,-1,1,-1,-1,1
"753",0,-1,-1,1,-1,-1,-1
"755",-1,-1,-1,1,-1,0,-1
"756",1,-1,-1,1,-1,1,1
"757",1,1,-1,-1,1,1,1
"759",1,1,1,1,-1,1,1
"760",0,1,-1,1,-1,-1,-1
"761",1,1,1,1,-1,0,1
"762",0,1,1,1,1,-1,1
"763",0,1,0,1,-1,0,1
"764",-1,1,-1,1,-1,1,-1
"765",-1,0,-1,1,-1,1,-1
"766",1,-1,-1,1,1,0,1
"767",0,-1,-1,1,-1,-1,-1
"768",-1,-1,-1,1,-1,1,-1
"769",0,1,-1,1,0,-1,-1
"770",0,-1,-1,1,-1,1,1
"771",0,-1,-1,1,-1,0,-1
"774",0,1,1,1,-1,0,1
"775",1,-1,-1,1,-1,0,-1
"776",0,1,1,1,-1,0,1
"777",0,1,-1,1,-1,1,1
"778",1,-1,-1,1,1,1,1
"779",-1,1,1,1,-1,0,-1
"780",0,1,-1,1,-1,1,-1
"781",1,-1,-1,1,-1,1,1
"782",-1,-1,-1,1,-1,-1,-1
"783",-1,-1,-1,1,-1,0,-1
"785",0,-1,-1,1,-1,0,1
"788",0,1,-1,-1,-1,1,1
"789",0,-1,-1,1,-1,-1,-1
"790",-1,-1,-1,1,-1,-1,-1
"791",0,1,-1,1,-1,1,1
"793",-1,-1,-1,1,-1,-1,-1
"794",0,-1,-1,1,-1,1,-1
"796",1,-1,-1,1,-1,0,1
"797",-1,0,-1,1,-1,0,-1
"799",0,-1,-1,1,1,-1,1
"800",0,-1,-1,1,-1,-1,-1
"801",-1,1,-1,1,-1,0,-1
"802",-1,-1,-1,1,-1,-1,-1
"803",1,1,-1,1,-1,1,1
"806",-1,-1,-1,1,-1,0,-1
"809",-1,-1,-1,1,-1,-1,-1
"810",1,1,-1,1,-1,-1,1
"812",0,1,-1,1,-1,-1,1
"815",1,-1,-1,1,-1,1,1
"817",1,1,-1,1,1,-1,1
"819",1,1,-1,1,-1,1,1
"821",0,1,-1,1,1,-1,1
"822",1,1,-1,1,-1,0,1
"826",1,1,-1,1,1,0,1
"827",0,1,1,0,-1,-1,1
"828",-1,-1,-1,1,-1,0,-1
"829",0,1,-1,1,-1,-1,1
"831",-1,1,-1,1,0,-1,-1
"832",1,-1,-1,1,-1,-1,1
"833",-1,1,-1,1,-1,-1,-1
"834",-1,-1,-1,1,-1,-1,-1
"835",0,1,-1,1,-1,-1,1
"837",0,1,1,1,1,-1,1
"838",-1,1,-1,1,-1,0,-1
"839",-1,-1,-1,1,-1,0,-1
"840",-1,-1,-1,1,-1,-1,-1
"841",0,1,-1,1,-1,1,1
"842",0,1,-1,1,1,-1,1
"844",1,1,-1,1,-1,-1,1
"845",1,-1,-1,-1,-1,1,1
"848",-1,-1,-1,1,-1,0,-1
"849",0,-1,-1,1,-1,1,1
"850",1,-1,-1,1,-1,1,1
"854",-1,-1,-1,1,-1,-1,-1
"856",-1,-1,-1,1,-1,-1,-1
"858",-1,-1,-1,1,-1,0,-1
"861",1,-1,-1,1,-1,1,1
"863",-1,-1,-1,1,-1,1,-1
"865",0,-1,-1,1,-1,0,1
"866",1,-1,-1,1,-1,0,1
"867",1,1,-1,1,0,-1,-1
"868",0,1,-1,1,-1,0,-1
"869",0,-1,1,1,-1,0,-1
"870",0,-1,-1,1,-1,1,1
"873",1,1,-1,1,1,0,1
"874",1,-1,-1,1,-1,-1,1
"875",1,1,1,1,-1,-1,1
"877",-1,1,-1,1,-1,-1,-1
"878",-1,-1,-1,1,-1,-1,-1
"879",0,1,-1,1,-1,-1,-1
"881",1,-1,-1,1,1,0,1
"882",0,-1,-1,1,-1,-1,1
"883",0,1,-1,1,-1,-1,1
"884",0,1,-1,1,-1,-1,-1
"886",0,1,-1,1,-1,0,1
"887",-1,-1,-1,1,-1,0,-1
"890",1,1,-1,1,-1,0,1
"892",1,1,-1,1,-1,1,1
"893",1,-1,1,1,-1,-1,1
"894",0,-1,-1,1,-1,-1,-1
"896",0,-1,-1,0,-1,-1,-1
"898",-1,-1,-1,1,-1,-1,-1
"899",0,1,-1,1,-1,-1,1
"901",-1,-1,-1,1,-1,1,-1
"902",0,1,-1,1,-1,-1,-1
"903",-1,1,-1,1,-1,0,-1
"904",-1,-1,-1,1,-1,-1,-1
"905",0,1,-1,1,-1,0,1
"906",-1,-1,-1,1,-1,0,-1
"907",1,1,-1,1,1,1,1
"908",1,1,-1,1,1,0,1
"909",0,1,-1,1,-1,-1,-1
"910",-1,-1,0,1,-1,0,-1
"913",-1,1,1,1,-1,0,-1
"915",0,-1,-1,1,-1,-1,-1
"916",-1,-1,-1,1,-1,1,-1
"917",0,1,-1,1,-1,-1,1
"918",0,1,0,1,-1,0,-1
"919",0,1,-1,1,-1,0,1
"920",-1,-1,-1,1,-1,0,-1
"921",-1,1,-1,1,-1,0,-1
"922",1,1,-1,1,-1,-1,1
"925",0,1,1,1,-1,1,1
"926",0,-1,-1,1,-1,-1,-1
"928",-1,1,-1,1,-1,-1,-1
"936",0,1,-1,1,-1,0,1
"937",0,1,1,1,-1,0,1
"938",-1,-1,-1,1,-1,0,-1
"939",1,-1,-1,1,1,0,1
"940",0,-1,-1,1,-1,-1,-1
"941",0,0,-1,1,-1,-1,1
"942",0,-1,-1,1,-1,0,-1
"944",1,-1,-1,-1,-1,-1,1
"948",0,1,-1,1,-1,1,1
"949",0,1,-1,1,-1,0,1
"951",0,-1,-1,1,-1,-1,-1
"954",0,-1,-1,1,1,-1,1
"955",0,1,-1,1,-1,1,1
"956",1,-1,-1,1,-1,0,1
"957",-1,-1,-1,1,-1,-1,-1
"958",0,1,-1,1,1,-1,1
"959",0,1,-1,1,-1,0,1
"960",-1,1,-1,-1,-1,0,-1
"961",0,1,-1,1,-1,-1,-1
"962",0,1,1,1,-1,0,1
"963",1,1,-1,1,1,-1,1
"964",0,-1,0,1,-1,0,1
"965",0,-1,-1,1,1,0,1
"966",1,1,1,1,1,1,1
"969",0,1,1,1,1,1,1
"970",0,-1,-1,1,-1,-1,1
"971",1,1,1,1,-1,1,1
"972",-1,-1,-1,1,-1,1,-1
"974",-1,1,1,1,-1,0,-1
"975",0,-1,-1,1,1,0,1
"976",0,-1,-1,1,-1,0,-1
"977",-1,-1,-1,1,-1,-1,-1
"979",1,1,-1,1,-1,-1,1
"980",0,1,-1,1,0,0,1
"981",0,1,-1,1,-1,-1,1
"982",0,1,-1,1,-1,1,-1
"983",-1,-1,-1,1,-1,-1,-1
"984",1,1,-1,1,-1,0,1
"985",0,1,1,1,-1,-1,-1
"986",1,1,-1,-1,-1,1,1
"988",0,1,-1,1,-1,-1,1
"989",0,1,-1,1,-1,0,-1
"990",0,-1,-1,1,-1,1,1
"994",-1,1,1,1,-1,0,-1
"996",0,0,-1,1,-1,-1,-1
"997",-1,-1,-1,1,-1,-1,-1
"1001",1,1,-1,1,-1,1,1
"1002",1,1,-1,1,1,0,1
"1003",0,-1,-1,1,-1,-1,1
"1004",1,-1,-1,0,1,0,1
"1005",0,1,-1,1,-1,-1,-1
"1006",1,1,-1,1,-1,-1,-1
"1007",-1,1,-1,-1,-1,-1,-1
