"","URL_of_Anchor","SSLfinal_State","web_traffic","having_Sub_Domain","Prefix_Suffix","Links_in_tags","SFH","Domain_registration_length","Result"
"1704",-1,-1,0,-1,-1,-1,1,-1,-1
"1705",-1,0,-1,0,-1,1,-1,1,-1
"1706",-1,-1,0,-1,-1,0,-1,1,-1
"1707",0,1,0,1,-1,0,1,-1,-1
"1708",1,1,1,1,-1,1,-1,-1,1
"1713",-1,-1,-1,0,-1,0,1,-1,-1
"1718",1,0,1,-1,1,0,-1,-1,1
"1723",-1,0,-1,0,-1,-1,-1,1,-1
"1726",-1,-1,0,-1,-1,-1,-1,1,-1
"1727",0,1,0,0,-1,0,-1,1,1
"1729",1,1,1,0,1,-1,1,-1,1
"1730",0,1,0,-1,-1,-1,-1,-1,1
"1731",-1,0,1,0,-1,-1,-1,-1,-1
"1732",0,1,1,-1,-1,0,-1,1,1
"1737",0,0,0,1,-1,-1,-1,-1,1
"1740",0,-1,0,-1,-1,0,-1,-1,-1
"1742",-1,-1,-1,0,-1,1,1,-1,-1
"1747",-1,-1,-1,-1,-1,0,-1,-1,-1
"1748",-1,0,0,0,-1,-1,1,-1,-1
"1750",0,-1,1,1,-1,0,-1,1,-1
"1761",-1,-1,0,-1,-1,0,-1,-1,-1
"1772",1,1,0,-1,-1,-1,-1,-1,1
"1778",0,1,1,-1,1,-1,-1,-1,1
"1782",1,1,1,1,-1,1,-1,-1,1
"1783",-1,0,-1,0,-1,0,1,1,-1
"1784",0,1,1,-1,-1,-1,-1,1,-1
"1785",-1,0,-1,0,-1,0,-1,-1,-1
"1786",0,1,1,-1,-1,1,-1,-1,1
"1787",-1,-1,-1,0,-1,-1,-1,1,-1
"1805",-1,1,0,-1,-1,-1,1,-1,-1
"1811",0,1,1,1,-1,-1,-1,-1,1
"1812",-1,-1,-1,-1,-1,-1,-1,-1,-1
"1813",0,1,1,-1,-1,-1,1,-1,1
"1817",0,1,0,1,1,-1,1,0,1
"1827",0,-1,0,1,-1,0,-1,-1,1
"1831",0,1,1,1,-1,0,-1,-1,1
"1838",0,1,1,0,-1,1,-1,-1,1
"1840",-1,-1,-1,-1,-1,0,-1,-1,-1
"1842",-1,-1,-1,-1,-1,-1,-1,1,-1
"1845",-1,-1,1,0,0,0,-1,-1,-1
"1847",0,1,0,1,-1,-1,-1,-1,1
"1853",-1,-1,0,-1,-1,-1,1,-1,-1
"1860",0,-1,1,0,1,1,-1,-1,1
"1863",-1,0,0,0,-1,0,-1,1,-1
"1864",0,1,1,-1,-1,0,-1,-1,1
"1868",-1,-1,-1,0,-1,1,-1,1,-1
"1873",0,1,1,-1,-1,-1,-1,1,-1
"1875",0,1,1,1,-1,1,-1,-1,1
