"","URL_of_Anchor","SSLfinal_State","web_traffic","having_Sub_Domain","Prefix_Suffix","Links_in_tags","SFH","Domain_registration_length","Result"
"166",0,1,1,-1,0,1,-1,1,1
"168",-1,1,0,-1,-1,-1,-1,1,-1
"169",0,1,1,0,1,0,-1,-1,1
"171",1,1,0,1,-1,-1,-1,-1,1
"172",0,1,1,0,-1,-1,-1,1,1
"173",0,1,1,-1,1,0,-1,-1,1
"174",0,1,0,0,0,-1,-1,1,-1
"175",1,1,1,-1,1,1,-1,-1,1
"176",0,-1,1,-1,-1,1,-1,1,-1
"178",0,1,1,-1,-1,0,-1,-1,1
"181",0,1,-1,-1,1,-1,-1,1,1
"182",0,1,1,1,-1,0,-1,-1,1
"183",0,1,0,-1,-1,-1,-1,-1,-1
"185",0,1,0,-1,-1,0,-1,-1,-1
"186",1,1,1,0,0,0,-1,-1,1
"188",-1,-1,1,0,-1,1,-1,1,-1
"189",0,1,1,0,-1,0,-1,-1,1
"190",0,1,1,-1,-1,0,-1,-1,1
"191",0,0,-1,0,-1,-1,-1,-1,-1
"192",0,1,1,1,1,0,-1,-1,1
"193",0,0,1,0,-1,1,-1,-1,-1
"195",0,-1,1,0,-1,0,-1,-1,1
"197",-1,-1,-1,-1,-1,1,-1,-1,-1
"199",0,1,1,1,1,0,-1,-1,1
"200",-1,0,-1,0,-1,-1,-1,-1,-1
"202",0,1,0,0,1,0,-1,1,1
"204",0,0,1,0,-1,-1,-1,1,-1
"207",0,1,1,1,-1,1,-1,-1,1
"208",0,1,1,1,-1,0,1,-1,1
"209",-1,-1,-1,-1,-1,0,-1,1,-1
"210",0,1,1,0,-1,0,-1,1,1
"211",1,1,1,0,-1,-1,-1,1,1
"212",0,-1,1,-1,-1,0,-1,1,1
"213",1,1,-1,0,-1,0,-1,1,1
"214",1,1,1,-1,-1,0,1,-1,1
"215",-1,0,1,0,-1,1,-1,-1,-1
"216",1,1,1,1,-1,-1,-1,-1,1
"218",0,-1,1,-1,-1,0,-1,1,-1
"219",0,1,1,1,-1,-1,-1,-1,1
"221",0,1,1,1,-1,0,1,1,1
"223",-1,0,-1,0,-1,-1,1,-1,-1
"224",-1,-1,0,0,-1,-1,-1,1,-1
"225",0,1,1,-1,-1,0,-1,-1,-1
"226",-1,1,-1,-1,-1,0,-1,1,-1
"227",1,1,1,-1,-1,1,-1,-1,1
"228",0,1,0,1,-1,1,-1,1,1
"232",0,1,1,0,-1,-1,-1,-1,1
"233",0,1,1,-1,-1,-1,-1,1,1
"236",0,1,0,-1,-1,0,-1,-1,1
"237",0,1,1,-1,1,1,-1,-1,1
"239",-1,0,-1,0,-1,0,-1,-1,-1
"241",-1,-1,0,0,-1,0,-1,1,-1
"242",0,0,0,1,-1,0,-1,-1,-1
"244",-1,-1,-1,-1,-1,-1,-1,-1,-1
"245",0,-1,0,0,-1,-1,-1,1,-1
"248",0,-1,0,-1,-1,-1,-1,-1,-1
"249",0,-1,1,-1,-1,0,-1,1,-1
"250",-1,-1,-1,-1,-1,0,-1,-1,-1
"251",-1,-1,-1,0,-1,1,-1,-1,-1
"252",0,-1,1,-1,-1,0,-1,1,1
"254",0,-1,1,-1,-1,0,-1,1,-1
"255",0,1,1,1,-1,0,-1,-1,1
"256",-1,0,-1,0,-1,-1,-1,1,-1
"257",-1,-1,-1,0,-1,1,-1,1,-1
"259",0,1,1,0,-1,1,-1,-1,1
"260",0,1,1,0,-1,0,1,-1,1
"261",1,1,1,1,-1,0,-1,-1,1
"262",0,-1,1,0,-1,-1,-1,1,1
"264",-1,-1,1,-1,-1,-1,-1,-1,-1
"268",1,1,1,1,1,1,-1,-1,1
"269",0,1,1,0,1,-1,1,-1,1
"270",-1,-1,1,0,-1,-1,-1,-1,-1
"271",0,1,0,1,1,1,1,-1,1
"273",0,-1,1,-1,-1,0,-1,-1,1
"275",1,1,0,1,-1,-1,-1,-1,1
"276",0,1,1,1,-1,1,-1,-1,1
"277",0,-1,1,0,-1,1,-1,-1,1
"278",1,-1,-1,-1,-1,-1,-1,1,-1
"279",1,1,1,0,-1,1,-1,-1,1
"280",0,1,0,1,-1,0,-1,1,1
"281",-1,-1,0,0,-1,0,-1,-1,-1
"282",0,1,0,1,-1,0,-1,1,1
"283",0,1,1,1,1,1,1,-1,1
"285",0,1,0,-1,-1,1,-1,-1,-1
"288",0,1,1,1,-1,1,-1,-1,1
"289",-1,-1,-1,0,-1,1,-1,-1,-1
"290",1,1,1,-1,-1,1,-1,-1,1
"291",1,-1,1,0,1,1,1,-1,1
"294",1,1,0,-1,1,0,-1,1,1
"296",0,1,1,-1,0,1,1,-1,1
"297",-1,-1,-1,0,-1,-1,-1,1,-1
"298",0,1,0,-1,-1,-1,-1,1,1
"302",0,1,0,1,-1,1,-1,-1,1
"303",-1,-1,-1,-1,-1,-1,-1,-1,-1
"304",0,1,1,0,-1,0,-1,1,1
"307",1,1,1,-1,-1,1,0,1,1
"308",0,1,1,-1,-1,1,-1,-1,1
"309",0,1,1,-1,-1,0,-1,-1,1
"313",0,1,1,-1,-1,0,-1,1,1
"315",-1,-1,0,-1,-1,0,-1,1,-1
"317",0,1,1,1,-1,0,-1,-1,1
"318",0,1,0,1,1,0,-1,-1,1
"319",0,1,1,0,-1,-1,-1,1,-1
"320",0,1,1,-1,-1,0,-1,1,1
"321",1,0,0,0,1,1,1,-1,1
"322",1,1,1,1,-1,-1,-1,1,1
"325",1,1,-1,-1,1,0,-1,1,1
"326",-1,0,-1,0,-1,0,0,1,-1
"327",-1,0,-1,0,-1,1,1,-1,-1
"328",0,1,0,-1,-1,-1,-1,-1,-1
"329",0,1,1,-1,-1,1,1,-1,1
"330",0,1,1,-1,-1,1,1,-1,1
"333",0,1,1,1,-1,1,-1,-1,1
"336",0,0,1,1,-1,-1,-1,-1,1
"337",-1,0,-1,0,-1,0,-1,1,-1
"338",0,-1,-1,-1,-1,0,-1,1,-1
"340",0,1,0,-1,-1,0,-1,-1,1
"341",1,1,1,1,-1,1,-1,-1,1
"342",0,1,1,1,-1,0,1,-1,1
"346",-1,-1,-1,-1,-1,1,1,-1,-1
"347",1,-1,1,0,-1,0,-1,-1,1
"348",0,1,0,1,1,1,-1,-1,1
"350",-1,0,1,0,-1,1,-1,1,-1
"351",1,1,1,-1,-1,-1,-1,-1,1
"352",-1,0,1,0,-1,-1,-1,1,-1
"353",0,0,1,0,-1,1,-1,-1,1
"354",1,1,0,-1,-1,0,-1,-1,1
"355",0,1,0,1,-1,1,-1,0,-1
"356",0,1,1,0,-1,1,-1,-1,1
"357",0,1,1,0,1,0,-1,-1,1
"358",1,1,1,1,-1,-1,-1,-1,1
"359",0,1,1,-1,-1,0,-1,-1,1
"360",-1,-1,-1,-1,-1,-1,-1,1,-1
"361",-1,-1,-1,-1,-1,-1,-1,-1,-1
"362",1,1,0,-1,-1,0,-1,1,1
"363",-1,-1,-1,-1,-1,-1,-1,1,-1
"364",0,1,1,0,-1,0,-1,-1,1
"365",0,1,1,-1,-1,-1,-1,-1,1
"366",0,1,1,1,0,0,1,-1,1
"367",0,1,0,1,-1,0,-1,-1,1
"368",0,1,0,-1,-1,1,-1,-1,-1
"373",1,1,1,1,-1,-1,-1,1,1
"376",1,1,0,1,1,-1,-1,-1,1
"377",-1,0,-1,0,-1,1,-1,1,-1
"378",0,1,1,1,1,0,-1,-1,1
"379",0,1,0,-1,-1,0,-1,-1,1
"380",1,1,1,0,-1,1,-1,-1,1
"381",1,1,1,-1,-1,-1,-1,-1,1
"382",-1,-1,1,-1,-1,-1,-1,-1,-1
"383",0,1,0,0,-1,1,-1,1,-1
"385",1,1,1,-1,-1,1,-1,1,1
"386",-1,0,1,0,-1,1,1,-1,-1
"387",0,1,1,0,-1,0,-1,-1,1
"388",1,1,1,1,-1,1,-1,-1,1
"389",1,-1,0,-1,-1,-1,-1,-1,-1
"390",-1,0,1,0,-1,1,-1,-1,-1
"392",0,1,1,0,-1,0,1,-1,1
"393",-1,-1,0,-1,-1,0,-1,1,-1
"394",0,1,1,1,-1,-1,-1,-1,1
"395",1,1,1,1,-1,0,-1,-1,1
"397",0,1,1,1,-1,-1,1,-1,1
"398",0,1,1,0,-1,1,-1,-1,1
"399",0,1,1,1,-1,0,-1,-1,1
"400",0,1,1,0,-1,0,-1,-1,1
"401",0,1,0,-1,-1,0,-1,-1,-1
"404",0,1,1,1,-1,0,1,-1,1
"407",0,1,1,-1,-1,0,-1,-1,1
"408",0,-1,1,0,-1,0,-1,-1,1
"409",0,1,0,1,-1,-1,-1,-1,1
"411",1,1,-1,-1,-1,0,-1,-1,1
"413",0,1,1,-1,1,0,-1,1,1
"414",0,-1,0,0,-1,-1,-1,1,-1
"415",-1,-1,-1,-1,-1,-1,-1,1,-1
"416",0,-1,0,-1,-1,-1,-1,1,-1
"417",0,0,0,-1,-1,-1,-1,-1,-1
"418",0,-1,1,1,-1,-1,-1,1,-1
"419",-1,0,-1,0,-1,1,-1,1,-1
"422",0,1,-1,1,-1,1,-1,-1,1
"423",0,1,1,1,-1,-1,-1,-1,1
"424",0,1,-1,1,-1,0,-1,1,1
"427",0,1,1,0,-1,-1,-1,-1,1
"428",0,1,1,1,-1,1,-1,1,1
"429",0,1,1,0,-1,-1,-1,1,1
"430",0,1,1,1,-1,0,-1,1,1
"431",0,1,1,1,-1,0,-1,-1,1
"434",-1,-1,-1,-1,-1,0,-1,-1,-1
"435",1,1,1,-1,1,1,-1,1,1
"436",-1,0,-1,0,-1,0,-1,1,-1
"437",1,1,1,-1,1,0,1,-1,1
"439",1,1,1,0,-1,-1,-1,-1,1
"442",0,-1,1,0,-1,-1,-1,1,-1
"444",-1,0,0,0,-1,-1,-1,-1,-1
"445",0,1,1,-1,-1,0,-1,-1,1
"446",0,-1,1,1,-1,-1,-1,1,-1
"447",0,1,1,-1,1,0,-1,-1,1
"448",0,1,0,-1,-1,0,-1,-1,-1
"449",-1,-1,-1,-1,-1,-1,1,-1,-1
"450",0,1,0,0,0,1,-1,1,1
"453",0,1,0,1,-1,-1,-1,1,-1
"454",-1,0,-1,0,-1,0,-1,1,-1
"455",1,1,1,1,-1,1,-1,-1,1
"456",0,1,-1,1,1,0,-1,1,1
"458",-1,-1,-1,-1,-1,0,-1,-1,-1
"459",-1,0,-1,0,-1,0,-1,-1,-1
"463",0,1,1,-1,-1,0,1,-1,1
"464",1,1,-1,-1,1,0,-1,1,1
"465",0,1,-1,-1,-1,0,-1,1,1
"468",0,1,0,-1,-1,1,1,-1,1
"469",0,1,1,0,-1,0,1,-1,1
"470",-1,-1,0,0,-1,0,1,-1,-1
"471",0,-1,0,-1,-1,-1,-1,-1,-1
"474",-1,-1,-1,-1,-1,-1,-1,-1,-1
"477",-1,0,-1,0,-1,1,-1,1,-1
"479",0,1,0,1,-1,0,1,-1,-1
"480",1,1,1,1,-1,1,-1,-1,1
"481",-1,-1,-1,-1,-1,-1,1,-1,-1
"482",-1,0,0,0,-1,-1,-1,1,-1
"483",0,1,0,-1,-1,0,-1,-1,-1
"485",-1,-1,-1,0,-1,0,1,-1,-1
"488",1,1,1,1,-1,-1,1,-1,1
"489",0,1,1,-1,-1,0,-1,-1,1
"492",0,-1,0,-1,-1,1,1,-1,-1
"496",0,1,0,0,-1,1,-1,1,1
"498",-1,-1,0,-1,-1,-1,-1,1,-1
"500",1,1,1,-1,1,0,1,-1,1
"501",1,1,1,0,1,-1,1,-1,1
"502",0,1,0,-1,-1,-1,-1,-1,1
"504",0,1,1,-1,-1,0,-1,1,1
"505",1,1,1,1,1,0,-1,-1,1
"506",1,1,1,0,-1,0,-1,-1,1
"509",0,1,0,1,-1,-1,0,-1,1
"510",1,1,1,0,-1,1,-1,-1,1
"512",0,-1,0,-1,-1,0,-1,-1,-1
"513",0,1,1,1,-1,0,-1,1,1
"514",-1,-1,-1,0,-1,1,1,-1,-1
"515",-1,0,-1,0,-1,-1,-1,-1,-1
"517",1,1,0,-1,-1,0,1,-1,1
"519",-1,-1,-1,-1,-1,0,-1,-1,-1
"520",-1,0,0,0,-1,-1,1,-1,-1
"523",0,1,1,1,1,-1,-1,-1,1
"524",1,1,1,-1,-1,0,-1,-1,1
"526",0,1,0,0,-1,0,-1,-1,-1
"529",0,1,1,1,-1,1,-1,-1,1
"531",-1,0,-1,0,-1,-1,-1,-1,-1
"532",-1,1,-1,-1,-1,-1,-1,1,-1
"533",-1,-1,0,-1,-1,0,-1,-1,-1
"535",0,1,1,1,-1,0,-1,-1,1
"536",1,-1,1,0,-1,1,-1,-1,1
"537",0,-1,-1,1,-1,0,-1,1,1
"540",-1,0,0,0,-1,0,-1,1,-1
"542",0,1,0,-1,-1,-1,1,-1,1
"544",1,1,0,-1,-1,-1,-1,-1,1
"545",0,1,1,1,-1,-1,-1,1,1
"546",0,1,1,0,-1,-1,-1,-1,1
"547",-1,-1,0,-1,-1,0,-1,1,-1
"548",0,1,1,1,-1,0,1,-1,1
"550",0,1,1,-1,1,-1,-1,-1,1
"552",1,1,1,1,1,1,-1,1,1
"553",1,1,1,-1,-1,0,-1,1,1
"554",1,1,1,1,-1,1,-1,-1,1
"555",-1,0,0,0,-1,0,1,1,-1
"556",0,1,1,-1,-1,-1,0,1,-1
"557",-1,0,-1,0,-1,0,-1,-1,-1
"559",-1,0,-1,0,-1,-1,-1,1,-1
"560",0,0,0,-1,-1,0,1,1,1
"561",0,0,1,1,-1,1,1,-1,1
"562",0,1,0,1,-1,1,-1,-1,1
"564",0,1,1,0,-1,0,-1,-1,1
"565",0,1,1,1,-1,-1,-1,-1,1
"566",1,1,1,-1,-1,-1,1,-1,1
"570",0,1,1,1,1,1,-1,-1,1
"572",0,-1,-1,-1,-1,0,-1,1,-1
"573",0,-1,-1,0,-1,0,-1,1,-1
"575",0,1,1,-1,1,0,-1,-1,1
"578",0,-1,0,-1,-1,-1,-1,1,-1
"579",0,1,1,1,-1,1,-1,1,1
"581",0,1,1,-1,-1,0,-1,-1,1
"582",0,1,1,-1,1,1,-1,-1,1
"583",0,1,1,1,-1,-1,-1,-1,1
"584",-1,-1,-1,-1,-1,-1,-1,-1,-1
"585",0,1,1,-1,-1,-1,1,-1,1
"586",1,1,1,-1,-1,0,-1,-1,1
"587",-1,-1,0,0,-1,-1,-1,-1,-1
"588",0,1,0,-1,-1,-1,-1,-1,1
"590",0,1,1,1,-1,-1,-1,-1,1
"592",0,1,1,0,-1,-1,-1,-1,1
"593",0,1,1,1,-1,1,1,-1,1
"594",1,-1,1,0,-1,0,-1,-1,1
"595",-1,-1,-1,0,-1,0,1,-1,-1
"597",1,1,-1,1,1,0,-1,1,1
"598",0,1,1,1,1,0,-1,-1,1
"600",0,-1,-1,-1,-1,0,-1,1,-1
"601",1,1,1,-1,-1,0,1,-1,1
"602",0,1,1,-1,-1,1,-1,-1,1
"603",0,1,1,1,-1,0,-1,-1,1
"604",0,1,1,-1,-1,-1,-1,-1,1
"605",0,1,1,-1,-1,0,1,-1,1
"607",0,0,1,1,1,-1,-1,-1,1
"608",0,-1,1,-1,-1,0,-1,-1,-1
"609",0,1,0,-1,-1,-1,-1,-1,1
"611",0,1,1,1,-1,1,-1,1,1
"612",-1,-1,-1,-1,-1,0,-1,-1,-1
"613",0,1,1,-1,-1,-1,-1,-1,1
"614",-1,-1,-1,-1,-1,-1,-1,1,-1
"616",0,-1,1,-1,-1,-1,-1,-1,-1
"617",-1,-1,1,0,-1,0,-1,-1,-1
"618",0,-1,0,-1,-1,-1,-1,-1,-1
"619",0,1,0,1,-1,0,-1,-1,1
"620",1,1,1,1,1,1,-1,-1,1
"623",-1,-1,1,-1,-1,0,-1,-1,-1
"624",-1,0,0,0,-1,0,1,-1,-1
"625",-1,-1,0,-1,-1,-1,1,-1,-1
"626",0,1,0,-1,-1,-1,-1,-1,-1
"627",0,1,0,1,-1,0,-1,-1,1
"629",-1,-1,-1,-1,-1,0,-1,1,-1
"630",1,1,1,1,-1,0,-1,1,1
"631",1,1,1,0,1,0,-1,-1,1
"632",1,-1,1,0,1,1,-1,-1,1
"633",-1,0,-1,0,-1,1,1,-1,-1
"634",0,1,-1,1,-1,0,-1,-1,1
"635",-1,0,0,0,-1,0,-1,1,-1
"636",0,1,1,-1,-1,0,-1,-1,1
"637",0,1,1,-1,-1,-1,-1,-1,1
"638",1,1,1,0,-1,0,-1,1,1
"640",-1,-1,-1,0,-1,1,-1,1,-1
"641",-1,1,1,-1,-1,-1,-1,1,-1
"643",-1,-1,0,0,-1,-1,-1,1,-1
"644",1,1,1,-1,-1,1,-1,-1,1
"646",-1,-1,-1,-1,-1,0,1,-1,-1
"647",0,1,1,1,-1,1,-1,-1,1
"648",-1,0,-1,0,-1,-1,-1,-1,-1
"649",1,-1,1,1,-1,1,-1,-1,1
"650",0,0,-1,0,-1,0,-1,1,-1
"651",-1,0,1,0,-1,0,1,-1,-1
"652",-1,0,0,0,-1,0,1,-1,-1
"655",0,1,1,1,-1,0,-1,1,1
"657",0,1,1,0,-1,0,1,-1,1
"659",0,-1,-1,-1,-1,0,-1,-1,-1
"660",-1,-1,1,-1,-1,0,1,-1,-1
"661",-1,0,-1,0,-1,0,1,-1,-1
"662",-1,-1,-1,0,-1,0,-1,-1,-1
"663",1,1,1,1,1,-1,-1,1,1
"667",0,1,1,-1,-1,0,-1,1,1
"668",-1,-1,-1,-1,-1,0,-1,-1,-1
"669",1,1,1,0,1,0,-1,-1,1
"671",1,1,1,-1,1,-1,-1,-1,1
"674",0,1,1,0,1,0,-1,-1,1
"675",1,1,1,-1,1,-1,-1,-1,1
"676",-1,0,-1,0,-1,0,-1,1,-1
"678",0,1,1,1,-1,-1,-1,-1,1
"679",1,1,1,1,-1,0,1,-1,1
"680",1,0,1,1,-1,0,1,-1,1
"681",0,1,1,-1,-1,0,-1,1,1
"682",1,1,1,-1,1,0,1,-1,1
"683",-1,0,0,0,-1,0,-1,-1,-1
"684",0,1,1,1,-1,-1,-1,1,1
"686",0,1,1,-1,-1,1,-1,-1,1
"687",-1,0,-1,0,-1,1,-1,1,-1
"688",0,0,1,-1,-1,-1,-1,1,1
"689",-1,0,-1,0,-1,1,-1,1,-1
"690",0,-1,0,-1,-1,-1,-1,1,-1
"691",0,-1,1,-1,-1,0,-1,1,-1
"694",-1,-1,-1,-1,-1,0,1,-1,-1
"695",-1,-1,0,-1,-1,0,-1,-1,-1
"696",-1,-1,0,-1,0,1,-1,-1,-1
"698",0,1,1,-1,-1,0,-1,1,1
"699",0,1,0,1,-1,-1,-1,-1,-1
"700",-1,0,-1,0,-1,0,-1,1,-1
"701",1,1,1,1,-1,-1,-1,-1,1
"702",1,-1,0,0,1,1,1,-1,1
"704",0,1,0,-1,-1,-1,-1,-1,-1
"706",0,1,0,1,-1,0,-1,-1,1
"707",-1,-1,1,0,-1,1,-1,-1,-1
"708",-1,-1,0,-1,-1,0,-1,-1,-1
"709",0,1,1,0,-1,1,-1,-1,1
"710",-1,-1,0,-1,-1,0,-1,-1,-1
"713",0,1,1,1,-1,1,-1,1,1
"715",0,1,1,-1,0,0,1,-1,1
"716",0,-1,1,-1,-1,0,-1,1,-1
"717",0,1,1,1,1,1,-1,0,1
"719",-1,-1,0,-1,-1,0,-1,1,-1
"720",-1,0,1,0,-1,-1,-1,1,-1
"721",0,1,1,0,-1,-1,-1,-1,1
"722",0,1,1,1,-1,0,-1,-1,1
"723",-1,-1,-1,-1,-1,0,-1,1,-1
"725",0,1,-1,1,-1,-1,-1,1,1
"726",-1,0,1,0,-1,0,-1,1,-1
"728",-1,-1,1,-1,0,-1,-1,-1,-1
"729",1,1,1,0,-1,-1,-1,1,1
"730",0,1,-1,1,-1,-1,-1,1,1
"731",-1,-1,-1,-1,-1,-1,-1,-1,-1
"733",0,1,0,-1,-1,0,-1,-1,1
"734",0,-1,1,-1,-1,0,1,1,-1
"736",0,1,0,1,-1,0,-1,-1,1
"737",0,1,1,-1,-1,0,0,-1,1
"741",0,-1,0,-1,-1,0,-1,-1,-1
"742",0,1,1,0,-1,-1,-1,-1,1
"744",0,1,1,1,-1,1,-1,1,-1
"745",0,1,-1,1,-1,1,-1,1,1
"746",0,1,0,1,-1,0,-1,-1,-1
"747",-1,-1,0,0,-1,0,-1,-1,-1
"748",0,1,1,-1,-1,-1,-1,-1,1
"750",1,1,1,1,-1,-1,-1,-1,1
"751",0,-1,-1,-1,-1,-1,-1,-1,-1
"752",0,1,-1,-1,-1,0,-1,1,1
"753",0,1,1,-1,-1,-1,-1,-1,-1
"754",1,1,1,-1,-1,-1,-1,-1,1
"755",-1,1,0,0,-1,-1,-1,1,-1
"756",1,1,0,1,-1,-1,-1,1,1
"757",1,1,1,1,1,1,-1,-1,1
"758",0,1,1,0,-1,-1,-1,-1,1
"760",0,-1,0,-1,-1,0,-1,-1,-1
"761",1,1,1,0,-1,1,1,-1,1
"764",-1,-1,0,1,-1,-1,-1,-1,-1
"765",-1,-1,-1,1,-1,0,-1,-1,-1
"766",1,1,1,0,1,-1,-1,1,1
"767",0,-1,-1,-1,-1,0,-1,-1,-1
"768",-1,1,-1,1,-1,0,-1,1,-1
"769",0,-1,1,-1,0,-1,-1,1,-1
"771",0,0,-1,0,-1,0,-1,1,-1
"772",0,1,1,-1,-1,-1,-1,1,-1
"773",-1,-1,1,0,-1,0,-1,-1,-1
"774",0,1,1,0,-1,1,1,-1,1
"775",1,0,-1,0,-1,-1,-1,1,-1
"776",0,1,1,0,-1,1,1,-1,1
"777",0,1,1,1,-1,-1,-1,-1,1
"778",1,1,1,1,1,0,-1,1,1
"779",-1,0,0,0,-1,0,1,-1,-1
