"","URL_of_Anchor","Request_URL","URL_Length","having_At_Symbol","Prefix_Suffix","having_Sub_Domain","having_IP_address","Result"
"277",0,1,-1,1,-1,0,1,1
"278",1,-1,-1,1,-1,-1,1,-1
"285",0,1,-1,1,-1,-1,1,-1
"287",1,1,-1,-1,-1,-1,1,1
"289",-1,1,-1,1,-1,0,1,-1
"298",0,1,-1,1,-1,-1,1,1
"299",0,-1,-1,1,-1,0,1,-1
"303",-1,1,-1,1,-1,-1,1,-1
"306",1,1,-1,1,0,1,1,1
"315",-1,-1,-1,1,-1,-1,1,-1
"317",0,-1,-1,1,-1,1,1,1
"319",0,1,-1,1,-1,0,1,-1
"322",1,-1,-1,1,-1,1,1,1
"326",-1,-1,1,1,-1,0,1,-1
"328",0,-1,-1,1,-1,-1,1,-1
"338",0,-1,-1,1,-1,-1,1,-1
"353",0,-1,-1,1,-1,0,1,1
"357",0,1,0,1,1,0,1,1
"360",-1,1,-1,1,-1,-1,1,-1
"364",0,1,-1,1,-1,0,1,1
"366",0,1,1,1,0,1,1,1
"368",0,1,-1,1,-1,-1,-1,-1
"371",0,1,-1,1,-1,1,1,1
"373",1,1,-1,1,-1,1,1,1
"374",-1,-1,-1,1,-1,-1,1,-1
"375",0,1,1,1,-1,0,1,1
"376",1,1,-1,1,1,1,1,1
"379",0,1,-1,1,-1,-1,1,1
"381",1,1,-1,1,-1,-1,1,1
"383",0,-1,-1,1,-1,0,1,-1
"384",0,1,-1,1,-1,0,0,-1
"388",1,1,-1,1,-1,1,1,1
"393",-1,-1,-1,1,-1,-1,1,-1
"395",1,1,-1,1,-1,1,1,1
"396",1,-1,-1,0,1,0,1,1
"397",0,1,1,1,-1,1,1,1
"404",0,1,1,1,-1,1,1,1
"410",0,1,0,1,-1,1,1,1
"412",0,1,-1,1,1,-1,1,1
"416",0,1,-1,1,-1,-1,1,-1
"421",-1,-1,-1,1,-1,-1,1,-1
"434",-1,1,-1,-1,-1,-1,1,-1
"435",1,-1,-1,1,1,-1,-1,1
"436",-1,-1,-1,-1,-1,0,1,-1
"438",1,1,-1,1,-1,0,0,1
"440",0,1,-1,1,-1,1,1,1
"441",-1,1,-1,1,-1,0,1,-1
"445",0,1,-1,1,-1,-1,1,1
"447",0,1,-1,1,1,-1,-1,1
"448",0,1,-1,1,-1,-1,1,-1
"451",-1,0,-1,1,-1,0,1,-1
"452",-1,1,1,1,-1,-1,-1,-1
"453",0,-1,-1,1,-1,1,1,-1
"454",-1,-1,-1,1,-1,0,1,-1
"455",1,1,-1,-1,-1,1,1,1
"456",0,-1,0,1,1,1,1,1
"467",-1,1,-1,-1,-1,0,1,-1
"468",0,1,1,1,-1,-1,1,1
"469",0,1,1,1,-1,0,1,1
"475",-1,1,1,1,-1,-1,-1,-1
"477",-1,-1,-1,1,-1,0,1,-1
"478",-1,-1,-1,1,-1,-1,-1,-1
"483",0,1,-1,0,-1,-1,1,-1
"484",0,-1,-1,1,0,0,1,1
"486",0,-1,-1,1,-1,0,1,1
"488",1,1,1,1,-1,1,1,1
"498",-1,-1,-1,1,-1,-1,1,-1
"505",1,1,-1,1,1,1,-1,1
"506",1,1,-1,1,-1,0,1,1
"513",0,-1,-1,1,-1,1,1,1
"515",-1,-1,-1,1,-1,0,1,-1
"517",1,1,1,1,-1,-1,1,1
"522",0,-1,-1,1,-1,1,0,-1
"527",1,1,-1,1,-1,-1,1,1
"529",0,1,-1,1,-1,1,1,1
"536",1,1,-1,1,-1,0,1,1
"540",-1,1,-1,1,-1,0,1,-1
"542",0,1,1,1,-1,-1,-1,1
"544",1,1,-1,1,-1,-1,1,1
"545",0,1,-1,1,-1,1,1,1
"549",-1,1,-1,1,-1,0,1,-1
"550",0,1,-1,1,1,-1,1,1
"552",1,-1,-1,1,1,1,1,1
"554",1,0,-1,-1,-1,1,0,1
"561",0,1,1,1,-1,1,1,1
"567",0,1,0,1,-1,0,1,1
"569",1,1,1,0,1,-1,1,1
"575",0,1,-1,1,1,-1,1,1
"581",0,1,-1,1,-1,-1,1,1
"582",0,1,-1,1,1,-1,1,1
"584",-1,-1,-1,1,-1,-1,1,-1
"586",1,1,-1,1,-1,-1,1,1
"588",0,1,-1,1,-1,-1,1,1
"590",0,-1,-1,1,-1,1,-1,1
"591",0,1,-1,1,-1,1,1,1
"592",0,-1,-1,1,-1,0,1,1
"594",1,1,-1,1,-1,0,1,1
"596",0,1,-1,1,-1,-1,1,1
"597",1,-1,-1,1,1,1,1,1
"600",0,1,-1,1,-1,-1,1,-1
"603",0,1,-1,1,-1,1,1,1
"610",0,1,-1,1,-1,0,1,1
"617",-1,1,-1,1,-1,0,1,-1
"618",0,1,-1,1,-1,-1,1,-1
"619",0,1,-1,1,-1,1,1,1
"622",-1,1,-1,1,-1,-1,1,-1
"623",-1,1,-1,1,-1,-1,1,-1
"624",-1,1,1,1,-1,0,1,-1
"627",0,1,-1,1,-1,1,1,1
"628",-1,-1,-1,1,-1,0,1,-1
"629",-1,-1,-1,1,-1,-1,1,-1
"633",-1,-1,1,1,-1,0,-1,-1
"636",0,1,-1,1,-1,-1,1,1
"637",0,1,-1,1,-1,-1,1,1
"641",-1,-1,-1,1,-1,-1,1,-1
"653",0,-1,-1,1,-1,-1,1,1
"654",-1,-1,-1,-1,-1,-1,1,-1
"660",-1,1,1,1,-1,-1,1,-1
"664",-1,-1,-1,1,-1,-1,1,-1
"669",1,-1,-1,1,1,0,1,1
"671",1,-1,-1,1,1,-1,1,1
"672",0,1,-1,1,1,1,1,1
"679",1,1,1,1,-1,1,1,1
"681",0,-1,-1,1,-1,-1,1,1
"682",1,1,1,1,1,-1,1,1
"685",0,1,1,1,-1,-1,1,1
"687",-1,-1,0,1,-1,0,1,-1
"688",0,-1,-1,1,-1,-1,-1,1
"690",0,-1,-1,1,-1,-1,1,-1
"694",-1,1,1,-1,-1,-1,1,-1
"698",0,-1,-1,1,-1,-1,1,1
"704",0,1,-1,1,-1,-1,1,-1
"705",1,-1,-1,1,-1,1,1,1
"707",-1,-1,-1,1,-1,0,-1,-1
"715",0,1,1,1,0,-1,1,1
"717",0,1,-1,1,1,1,1,1
"718",0,-1,-1,1,-1,-1,1,-1
"720",-1,-1,-1,1,-1,0,1,-1
"721",0,-1,-1,1,-1,0,1,1
"723",-1,-1,-1,-1,-1,-1,1,-1
"724",-1,-1,-1,1,-1,-1,1,-1
"725",0,-1,-1,1,-1,1,1,1
"729",1,-1,-1,1,-1,0,0,1
"731",-1,1,-1,1,-1,-1,1,-1
"732",0,-1,-1,1,1,-1,1,1
"740",0,1,-1,1,-1,-1,1,-1
"742",0,1,-1,1,-1,0,1,1
"754",1,1,-1,0,-1,-1,1,1
"758",0,1,-1,1,-1,0,1,1
"772",0,-1,-1,1,-1,-1,1,-1
"773",-1,-1,-1,1,-1,0,1,-1
"784",-1,1,-1,1,-1,0,1,-1
"786",1,-1,-1,1,-1,-1,1,-1
"787",0,1,-1,1,-1,-1,1,1
"792",0,1,1,1,-1,1,1,1
"795",-1,1,0,1,-1,-1,1,-1
"798",0,1,-1,1,-1,1,0,1
"804",0,1,-1,-1,-1,1,1,1
"805",1,-1,0,-1,1,-1,1,1
"807",1,1,-1,1,-1,1,1,1
"808",-1,-1,-1,1,-1,0,1,-1
"811",0,-1,-1,1,-1,1,1,-1
"813",-1,1,1,1,-1,-1,1,-1
"814",-1,1,-1,1,-1,0,1,-1
"816",0,-1,-1,1,-1,-1,1,-1
"818",1,1,-1,1,1,1,1,1
"820",0,1,-1,1,-1,0,1,1
"823",-1,1,-1,1,-1,0,1,-1
"824",1,-1,-1,1,1,-1,1,1
"825",0,-1,-1,0,-1,0,1,1
"830",0,1,1,-1,-1,-1,1,1
"843",1,1,-1,1,1,1,1,1
"846",1,1,-1,1,-1,-1,1,-1
"847",0,1,-1,1,-1,1,1,1
"851",0,-1,-1,1,-1,0,1,1
"852",0,1,1,1,-1,-1,1,1
"853",0,1,-1,1,-1,1,1,1
"855",1,1,-1,1,-1,1,1,1
"857",0,1,-1,1,-1,-1,1,1
"859",-1,1,-1,1,-1,0,1,-1
"860",0,-1,-1,1,-1,1,1,1
"862",0,1,1,1,-1,-1,-1,1
"864",1,-1,-1,1,-1,-1,1,-1
"871",1,1,-1,1,-1,0,1,1
"872",0,-1,-1,1,-1,1,1,1
"876",1,1,-1,1,1,-1,-1,1
"880",1,1,-1,1,1,1,1,1
"885",1,1,-1,1,-1,-1,-1,1
"888",-1,1,-1,1,-1,0,1,-1
"891",0,-1,-1,1,-1,1,1,-1
"895",0,1,-1,1,1,0,1,1
"897",1,1,-1,1,1,-1,1,1
"900",0,-1,-1,1,-1,1,1,-1
"911",0,1,-1,1,-1,0,-1,1
"912",-1,-1,1,1,-1,0,1,-1
"923",-1,-1,1,-1,-1,-1,1,-1
"924",1,1,-1,1,-1,-1,1,1
"927",-1,-1,-1,1,-1,-1,-1,-1
"929",0,1,-1,1,-1,-1,1,1
"930",-1,-1,-1,1,-1,1,1,-1
"931",-1,-1,-1,1,-1,1,1,-1
"932",0,-1,-1,1,-1,-1,1,-1
"933",0,1,-1,1,-1,-1,1,-1
"934",0,0,-1,1,-1,-1,1,-1
"935",1,-1,-1,1,-1,1,1,1
"943",-1,0,-1,1,-1,0,1,-1
"945",0,1,-1,1,-1,-1,-1,1
"947",0,-1,-1,1,-1,0,1,-1
"950",1,1,1,1,-1,0,1,1
"952",1,1,-1,0,-1,0,1,1
"953",-1,1,1,1,-1,-1,1,-1
"967",0,-1,-1,1,-1,-1,1,-1
"968",-1,1,1,1,-1,0,1,-1
"973",0,1,1,1,-1,-1,1,-1
"978",0,-1,-1,1,-1,-1,1,-1
"991",-1,-1,-1,1,-1,-1,1,-1
"992",0,-1,-1,1,-1,-1,1,-1
"993",0,1,1,1,-1,0,1,1
"995",0,-1,-1,1,-1,-1,1,1
"998",-1,-1,-1,1,-1,0,1,-1
"999",1,-1,-1,1,-1,-1,1,1
"1000",0,1,-1,1,-1,1,1,-1
"1009",0,1,-1,1,-1,-1,1,-1
"1010",0,1,-1,1,-1,1,1,1
"1012",-1,-1,-1,1,-1,-1,1,-1
"1016",-1,1,-1,1,-1,-1,1,-1
"1018",0,-1,-1,1,-1,1,-1,1
"1019",-1,1,-1,1,-1,0,1,-1
"1021",0,1,-1,1,-1,-1,1,1
"1032",1,1,1,1,-1,0,1,-1
"1034",0,-1,-1,1,-1,0,1,-1
"1047",0,-1,-1,0,-1,-1,1,1
"1048",-1,-1,-1,1,-1,0,1,-1
"1051",1,-1,-1,-1,1,-1,1,1
"1062",-1,-1,-1,-1,-1,-1,1,-1
"1065",-1,-1,-1,1,-1,0,1,-1
"1072",1,1,-1,0,-1,1,1,1
"1074",0,-1,-1,1,-1,-1,1,-1
"1077",0,1,-1,1,-1,-1,1,-1
"1083",-1,-1,-1,1,-1,0,1,-1
"1086",-1,-1,-1,1,-1,0,-1,-1
"1093",-1,1,-1,-1,-1,0,1,-1
"1098",-1,-1,-1,1,-1,-1,1,-1
"1101",1,1,0,1,-1,0,1,1
"1104",-1,1,-1,1,-1,0,-1,-1
"1113",1,1,-1,1,-1,0,1,1
"1114",0,-1,-1,1,-1,0,1,1
"1116",-1,1,-1,1,-1,0,1,-1
"1117",0,1,-1,1,-1,-1,1,-1
"1120",1,1,1,1,-1,0,1,1
"1121",-1,-1,-1,1,-1,-1,1,-1
"1126",0,-1,-1,1,-1,0,1,-1
"1127",0,1,1,1,-1,0,-1,1
"1129",1,-1,-1,-1,-1,-1,1,1
"1130",1,1,1,1,-1,-1,0,1
"1136",0,-1,-1,1,-1,0,1,-1
"1137",0,-1,-1,1,-1,-1,1,-1
"1138",-1,1,1,1,-1,0,-1,-1
"1142",-1,1,-1,1,-1,-1,1,-1
"1143",-1,-1,-1,1,-1,-1,1,-1
"1146",1,-1,-1,1,-1,1,1,1
"1151",0,-1,-1,1,-1,1,1,1
"1159",0,-1,-1,1,-1,-1,1,-1
"1163",1,1,-1,1,-1,-1,-1,1
"1167",-1,1,-1,1,-1,0,1,-1
"1168",-1,-1,-1,1,-1,-1,1,-1
"1169",0,1,-1,1,1,-1,-1,1
"1170",-1,-1,1,1,-1,-1,-1,-1
"1171",0,1,-1,1,-1,1,1,1
"1175",-1,1,-1,1,-1,0,1,-1
"1176",1,-1,-1,1,-1,1,1,1
"1178",-1,1,-1,1,-1,0,1,-1
"1180",1,1,-1,1,1,-1,1,1
"1181",-1,1,-1,1,-1,0,-1,-1
"1187",0,1,-1,1,-1,0,1,1
"1188",1,-1,-1,1,1,1,1,1
"1198",0,1,-1,1,1,-1,1,1
"1199",0,-1,-1,1,0,-1,1,-1
"1200",-1,1,1,1,-1,0,1,-1
"1204",0,-1,-1,1,-1,-1,1,-1
"1208",0,1,-1,1,-1,-1,-1,1
"1213",-1,-1,-1,1,-1,0,1,-1
"1214",-1,-1,-1,-1,-1,0,1,-1
"1216",-1,1,-1,1,-1,-1,1,-1
"1217",0,1,-1,1,-1,0,1,1
"1224",1,1,-1,1,-1,0,1,1
"1226",-1,1,-1,1,-1,0,1,-1
"1228",-1,1,1,1,-1,-1,-1,-1
"1231",0,-1,0,1,-1,-1,1,-1
"1234",-1,-1,0,1,-1,-1,1,-1
"1238",0,-1,1,1,-1,0,1,1
"1241",-1,-1,1,1,-1,0,1,-1
"1251",0,1,1,1,-1,1,1,1
"1257",1,1,0,1,-1,-1,1,1
"1262",-1,-1,0,1,-1,0,1,-1
"1265",-1,-1,0,1,-1,-1,1,-1
"1273",0,1,1,1,-1,0,1,1
"1274",0,1,1,1,1,-1,-1,1
"1275",0,-1,-1,1,-1,-1,1,-1
"1278",0,1,-1,1,-1,1,1,-1
"1283",-1,-1,-1,1,-1,0,1,-1
"1285",0,1,-1,1,-1,1,1,1
"1286",0,1,-1,1,-1,-1,1,-1
"1289",0,-1,-1,1,0,1,1,-1
"1291",0,-1,-1,1,-1,-1,1,-1
"1292",1,1,1,1,1,1,1,1
"1295",0,-1,-1,1,-1,0,1,-1
"1299",0,1,-1,1,-1,1,-1,1
"1302",-1,-1,-1,1,-1,0,0,-1
"1307",1,1,-1,1,-1,-1,-1,1
"1309",0,1,1,1,-1,0,1,1
"1313",-1,0,-1,1,-1,0,-1,-1
"1315",0,1,1,1,-1,-1,1,1
"1317",-1,1,1,1,-1,0,-1,-1
"1318",0,1,-1,1,-1,1,1,-1
"1321",-1,1,-1,1,-1,-1,1,-1
"1325",-1,1,1,1,-1,-1,1,-1
"1331",-1,-1,-1,1,-1,-1,1,-1
"1335",-1,-1,-1,1,-1,1,1,-1
"1340",0,1,-1,1,-1,1,0,-1
"1341",1,1,-1,1,1,-1,1,1
"1342",0,1,1,1,-1,-1,1,-1
"1343",0,0,-1,1,-1,0,1,1
"1346",0,-1,-1,1,1,1,1,1
"1355",0,1,1,1,-1,1,1,1
"1356",0,-1,-1,1,1,0,1,1
"1358",0,-1,-1,1,-1,-1,1,-1
"1363",1,1,-1,1,-1,1,1,1
"1366",-1,-1,-1,1,-1,0,1,-1
"1368",0,1,-1,1,-1,-1,1,-1
"1369",-1,1,1,-1,-1,0,1,-1
"1375",0,-1,-1,1,-1,0,1,1
"1378",1,1,1,1,-1,-1,-1,1
"1379",0,1,-1,1,-1,1,1,1
"1381",-1,1,-1,1,-1,-1,1,1
"1382",-1,-1,-1,-1,-1,-1,1,-1
"1383",0,1,-1,1,-1,1,1,1
"1384",-1,1,-1,1,0,-1,-1,-1
"1386",0,-1,-1,1,-1,0,1,1
"1387",0,1,-1,1,-1,0,1,1
"1396",-1,-1,-1,1,-1,-1,1,-1
"1398",-1,1,-1,1,-1,0,-1,-1
"1406",0,1,-1,1,-1,-1,1,1
"1411",0,1,-1,1,-1,-1,1,-1
"1418",0,1,-1,1,-1,-1,1,1
"1419",0,0,-1,1,-1,0,1,-1
"1422",-1,-1,-1,1,-1,-1,1,-1
"1425",-1,1,-1,1,-1,-1,1,-1
"1426",-1,1,-1,1,-1,0,1,-1
"1433",-1,1,1,1,-1,0,-1,-1
"1438",0,-1,-1,1,-1,0,1,1
"1442",1,1,1,0,-1,-1,1,1
"1443",-1,-1,0,-1,-1,0,1,-1
"1445",0,-1,-1,1,-1,0,1,1
"1446",0,1,-1,1,-1,-1,1,-1
"1456",0,-1,-1,1,-1,1,-1,1
"1457",0,-1,-1,1,-1,-1,0,-1
"1462",1,-1,1,1,-1,0,-1,1
"1466",0,-1,-1,1,1,1,-1,1
"1469",-1,0,-1,1,-1,0,1,-1
"1472",-1,1,-1,1,-1,-1,1,-1
"1476",0,-1,-1,1,-1,-1,1,-1
"1481",1,-1,-1,1,1,-1,1,1
"1483",0,1,-1,1,-1,1,1,1
"1485",-1,-1,-1,1,-1,0,1,-1
"1486",0,1,-1,1,0,0,1,1
"1489",1,1,-1,1,-1,1,1,1
"1491",0,-1,-1,1,-1,-1,1,1
"1498",-1,1,-1,1,-1,0,1,-1
"1501",0,1,-1,1,-1,-1,1,1
"1502",0,1,-1,1,-1,0,1,1
"1509",-1,-1,-1,1,-1,0,1,-1
"1515",1,1,-1,-1,-1,-1,1,1
"1521",0,-1,-1,1,-1,-1,1,-1
"1523",0,1,-1,1,-1,-1,1,1
"1526",0,1,-1,1,-1,-1,1,1
"1532",0,0,-1,1,-1,0,1,1
"1534",1,1,-1,1,-1,1,1,1
"1535",1,-1,-1,1,-1,-1,1,1
"1538",0,1,-1,1,-1,1,1,1
"1541",0,-1,-1,1,-1,-1,1,1
"1542",0,1,1,1,-1,-1,1,1
"1546",0,1,-1,1,1,1,1,1
"1547",0,1,-1,1,-1,0,1,-1
"1548",0,-1,-1,1,0,-1,-1,1
"1550",1,-1,-1,1,-1,1,1,1
"1557",0,1,1,-1,-1,-1,1,1
"1560",1,1,-1,1,1,-1,1,1
"1561",0,0,-1,-1,-1,1,1,1
"1564",0,1,-1,1,-1,1,1,1
"1569",1,1,-1,1,-1,1,1,1
"1570",0,1,1,1,-1,1,1,1
"1571",1,-1,-1,1,-1,1,1,1
"1576",0,1,-1,1,1,1,1,1
"1578",-1,1,-1,1,-1,0,1,-1
"1582",1,1,-1,1,0,-1,1,1
"1586",1,1,-1,1,-1,1,1,1
"1588",-1,1,-1,1,-1,-1,1,-1
"1595",0,1,-1,1,-1,1,1,1
"1596",-1,1,-1,1,-1,-1,-1,-1
"1597",-1,1,-1,1,-1,-1,1,-1
"1602",-1,-1,-1,1,-1,-1,1,-1
"1603",0,1,1,0,-1,0,1,1
"1609",1,1,-1,1,-1,-1,1,1
"1612",0,1,-1,1,-1,0,1,-1
"1623",1,1,-1,1,-1,1,1,1
"1624",1,-1,-1,1,1,0,1,1
"1626",0,-1,-1,1,-1,0,1,1
"1630",1,1,-1,1,-1,1,1,1
"1633",1,1,-1,1,1,0,1,1
"1641",1,-1,-1,1,1,-1,1,1
"1642",0,-1,-1,1,-1,-1,1,-1
"1644",0,1,-1,1,-1,-1,1,-1
"1648",-1,0,-1,1,-1,-1,-1,-1
"1650",0,-1,-1,1,-1,1,1,1
"1657",0,-1,-1,1,0,0,1,1
"1659",0,1,-1,1,-1,1,1,1
"1665",1,1,1,1,1,-1,1,1
"1671",0,1,-1,1,-1,-1,1,1
"1673",0,1,-1,1,-1,-1,1,1
"1676",0,1,-1,1,-1,-1,1,-1
"1678",0,-1,-1,1,-1,0,1,1
"1682",-1,-1,-1,1,-1,0,1,-1
"1684",0,-1,-1,1,1,1,1,1
"1686",-1,1,-1,1,-1,-1,1,-1
"1687",-1,1,-1,1,-1,0,0,-1
"1689",0,-1,-1,1,-1,-1,1,-1
"1692",1,-1,-1,1,1,-1,1,1
"1693",0,1,-1,1,-1,-1,1,1
"1696",0,1,1,1,-1,-1,1,1
"1706",-1,-1,-1,1,-1,-1,-1,-1
"1707",0,1,1,1,-1,1,-1,-1
"1709",-1,1,1,1,-1,-1,1,-1
"1713",-1,1,1,1,-1,0,1,-1
"1715",0,1,-1,1,-1,0,1,-1
"1720",0,1,1,-1,-1,-1,1,-1
"1721",-1,-1,-1,1,-1,0,1,-1
"1722",0,-1,-1,1,-1,0,1,1
"1724",0,-1,-1,1,-1,0,-1,1
"1728",1,1,1,1,1,-1,-1,1
"1729",1,1,1,1,1,0,1,1
"1730",0,1,-1,1,-1,-1,1,1
"1736",0,1,-1,-1,-1,-1,1,1
"1743",-1,-1,-1,1,-1,0,1,-1
"1744",0,0,-1,1,-1,-1,1,1
"1749",0,-1,-1,1,-1,1,1,1
"1755",1,1,-1,1,-1,-1,1,1
"1758",0,1,-1,1,-1,-1,1,-1
"1760",-1,-1,-1,1,-1,-1,1,-1
"1762",-1,-1,1,1,-1,0,1,-1
"1763",0,1,-1,1,-1,1,1,1
"1768",-1,1,-1,1,-1,0,1,-1
"1773",0,1,-1,1,-1,1,1,1
"1778",0,1,-1,1,1,-1,1,1
"1784",0,-1,-1,1,-1,-1,1,-1
"1785",-1,1,-1,1,-1,0,1,-1
"1791",0,1,-1,1,1,-1,-1,1
"1792",0,1,-1,1,-1,0,1,1
"1803",0,1,-1,1,1,-1,1,1
"1804",0,-1,-1,1,-1,0,1,-1
"1806",0,-1,-1,1,-1,-1,1,-1
"1809",0,1,-1,1,-1,-1,0,1
"1810",0,1,-1,1,1,0,1,1
"1820",0,-1,-1,1,-1,0,1,1
"1821",0,-1,1,-1,-1,1,1,1
"1825",1,-1,-1,1,1,1,1,1
"1828",0,1,-1,1,-1,-1,1,-1
"1836",0,1,-1,1,-1,-1,1,-1
"1837",0,1,-1,1,-1,-1,1,1
"1840",-1,1,-1,1,-1,-1,1,-1
"1841",0,1,0,1,-1,-1,1,1
"1844",0,-1,-1,1,0,0,1,-1
"1845",-1,1,-1,1,0,0,1,-1
"1848",1,1,-1,-1,1,1,1,1
"1864",0,1,-1,1,-1,-1,1,1
"1867",-1,-1,1,1,-1,-1,1,-1
"1868",-1,-1,-1,0,-1,0,-1,-1
"1877",1,1,-1,1,-1,1,1,1
"1881",0,-1,-1,1,-1,-1,1,1
"1883",0,-1,-1,1,-1,1,1,1
"1886",-1,-1,-1,1,-1,-1,1,-1
"1888",-1,1,1,1,-1,-1,1,-1
"1895",0,-1,-1,1,-1,-1,1,1
"1898",0,1,1,1,-1,-1,1,1
"1903",1,1,-1,1,1,-1,1,1
"1904",-1,-1,-1,1,-1,0,1,-1
"1915",-1,-1,-1,1,-1,0,1,-1
"1917",-1,-1,-1,1,-1,0,1,-1
"1923",-1,-1,-1,1,-1,-1,1,-1
"1928",-1,-1,-1,1,-1,0,1,-1
"1932",0,1,-1,1,-1,-1,1,-1
"1935",-1,-1,-1,1,-1,0,-1,-1
"1939",-1,-1,-1,1,-1,1,1,-1
"1940",0,-1,1,1,-1,0,-1,1
"1943",0,1,1,1,1,-1,1,1
"1952",-1,-1,-1,1,-1,-1,1,-1
"1955",0,1,-1,1,-1,1,1,1
"1960",0,-1,-1,1,1,-1,1,1
"1964",0,1,-1,1,-1,1,1,1
"1967",1,1,1,1,-1,0,1,1
"1971",-1,1,-1,1,-1,-1,1,1
"1976",0,1,-1,1,0,-1,1,1
"1977",0,1,-1,1,-1,0,-1,1
"1981",0,-1,-1,1,-1,-1,1,-1
"1982",1,1,-1,1,-1,-1,1,1
"1986",0,1,0,1,-1,0,1,1
"1989",1,1,1,1,-1,0,1,1
"1990",0,1,1,1,1,-1,1,1
"1993",-1,-1,-1,1,-1,1,1,-1
"1997",0,1,-1,1,-1,-1,1,-1
"1998",0,-1,-1,1,-1,1,1,1
"2000",0,-1,-1,1,-1,-1,1,-1
"2002",0,1,1,1,-1,0,1,1
"2010",-1,-1,-1,1,-1,-1,1,-1
"2011",-1,-1,-1,1,-1,0,1,-1
"2014",1,-1,-1,1,0,-1,1,-1
"2016",0,1,-1,-1,-1,1,1,1
"2017",0,-1,-1,1,-1,-1,1,-1
"2018",-1,-1,-1,1,-1,-1,1,-1
"2020",0,1,1,0,-1,1,1,1
"2021",-1,-1,-1,1,-1,-1,1,-1
"2025",-1,1,-1,1,-1,0,1,-1
"2030",-1,-1,-1,1,-1,-1,1,-1
"2033",1,-1,-1,-1,1,-1,1,1
